Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/musicas,16312,98,380.0,557.8113277715611,1.9623099942691624,34333.06136901956,8750.112923001472,291.7318280361822,1.7526801831501873,380,460,500,530,600,720,1000,10000,29000,33000,34000
GET,/usuarios,16314,114,370.0,571.3157443692853,2.450683998176828,33154.375249985605,16728.282456785582,291.76759701951175,2.0388320497869525,380,460,500,530,610,730,1000,12000,28000,31000,33000
GET,Músicas em playlist,16394,98,380.0,558.7559420988614,1.8805489817168564,33700.65751898801,1246.2166646334024,293.1983563526956,1.7526801831501873,380,460,500,530,610,730,1000,12000,28000,32000,34000
GET,Playlists com música,16431,82,380.0,524.7368110656316,1.6370789962820709,33414.05751998536,3457.4918751141136,293.8600825442931,1.466528316513422,380,470,500,530,600,720,1000,6200,26000,32000,33000
GET,Playlists de usuário,16369,98,380.0,541.7769312178871,1.4302170020528138,34348.38429099182,121.86584397336429,292.7512440610757,1.7526801831501873,380,460,500,520,600,720,1000,9900,28000,34000,34000
,Aggregated,81820,490,380.0,550.8433815295031,1.4302170020528138,34348.38429099182,6048.305903202151,1463.3091080137583,8.763400915750935,380,460,500,530,600,720,1000,10000,28000,32000,34000
