Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/soap/musicas,11239,132,430.0,707.6901080084696,2.2090160055086017,41624.81952999951,10095.02669276626,200.9188197916145,2.3597548013607184,430,540,630,680,830,970,2000,14000,33000,38000,42000
POST,/soap/playlists,11021,115,430.0,672.6977075730808,1.5429909981321543,41429.82274401584,422.8356773432538,197.02164898330665,2.055846986033959,430,540,620,670,810,950,1300,14000,30000,40000,41000
POST,/soap/usuarios,11098,111,440.0,671.0070338147414,3.102604008745402,39342.495197983226,24404.44557577942,198.39817261743374,1.9843392647806042,440,540,620,680,820,960,1300,14000,31000,38000,39000
POST,Músicas em playlist,11262,124,430.0,670.5714349172886,2.3187599726952612,40598.36516302312,1692.5867519090748,201.32998918882132,2.2167393588540083,430,540,620,670,820,940,1300,14000,30000,40000,41000
POST,Playlists com música,11177,115,430.0,672.7366699978842,2.2486289963126183,38982.57978199399,4510.324863559094,199.8104501121875,2.055846986033959,430,540,630,690,830,980,1800,14000,30000,37000,39000
,Aggregated,55797,597,430.0,678.9884739493335,1.5429909981321543,41624.81952999951,8216.07661702242,997.4790806933637,10.67252739706325,430,540,620,680,820,960,1400,14000,31000,39000,42000
