Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetPlaylistByUserId,312,0,1300.0,1946.1817534805352,46.50572402169928,21195.79023399274,166.92628205128204,10.705695824864616,0.0,1300,2500,2900,3400,3800,4000,4000,12000,21000,21000,21000
POST,GetPlaylistsWithSong,316,0,1000.0,1701.5180387246846,50.838320021284744,17415.37642799085,4056.1867088607596,10.842948335439802,0.0,1000,2300,2700,3200,3700,3900,4000,4000,17000,17000,17000
POST,GetSongs,311,0,1100.0,1966.9616084722345,48.70964301517233,21591.31716299453,10256.0,10.67138269722082,0.0,1100,2500,2900,3400,3800,3900,9600,12000,22000,22000,22000
POST,GetSongsInPlaylist,308,0,1200.0,2037.038897278597,46.210311993490905,21572.953708004206,144.09415584415584,10.568443314289429,0.0,1300,2500,3200,3500,3800,3900,5000,16000,22000,22000,22000
POST,GetUsers,293,0,1100.0,2201.745695825575,49.496302992338315,19812.964615994133,20111.0,10.053746399632475,0.0,1100,2500,3300,3500,3800,4000,14000,18000,20000,20000,20000
,Aggregated,1540,0,1100.0,1966.969439478242,46.210311993490905,21591.31716299453,6792.438961038961,52.84221657144714,0.0,1100,2500,2900,3400,3800,3900,7800,15000,22000,22000,22000
