Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetAllMusics,14434,196,360.0,652.1133058596766,2.083455998217687,37535.41335297632,5000.167798254122,257.9720089434377,3.503014670424954,360,420,450,480,570,690,3100,15000,30000,37000,38000
POST,GetAllUsers,14031,202,360.0,656.7999637093967,2.7536790003068745,36775.82176798023,8743.28693607013,250.76938184047208,3.6102498133971466,360,420,460,480,570,700,3100,16000,30000,36000,37000
POST,GetPlaylistByUserId,14149,192,350.0,632.2847617862011,1.5928419888950884,35277.01016300125,106.36553820057955,252.87833965225855,3.431524575110159,350,420,450,480,560,690,3100,15000,30000,35000,35000
POST,GetPlaylistsWithSong,14479,201,360.0,666.6777726112299,1.8714870093390346,37806.56023399206,1545.058843842807,258.77627251572915,3.592377289568448,360,420,460,480,560,690,3200,16000,30000,35000,38000
POST,GetSongsInPlaylist,14018,196,350.0,648.3031342504484,1.823536993470043,37360.44794600457,732.6938222285632,250.537039030699,3.503014670424954,350,410,450,480,560,680,3100,15000,31000,37000,37000
,Aggregated,71111,987,360.0,651.3071345876004,1.5928419888950884,37806.56023399206,3220.2648816638775,1270.9330419825965,17.64018101892566,360,420,460,480,560,690,3100,15000,30000,36000,38000
