Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,GetAllMusic,16499,0,4,4.213880610287648,1.9550829892978072,96.27002399065532,2701.0,196.9635349460767,0.0,4,4,5,5,6,6,7,8,11,25,96
gRPC,GetAllUsers,16254,0,4,3.729654330255244,1.6771540103945881,110.92293899855576,4226.0,194.03874762188804,0.0,4,4,4,4,5,6,7,7,11,41,110
gRPC,GetPlaylistsByUser,16209,0,2,2.220324042918521,0.8300520130433142,12.21889498992823,39.28761799000555,193.50154178683297,0.0,2,2,3,3,4,4,5,5,7,10,12
gRPC,GetPlaylistsWithSong,16567,0,3,3.108528505687897,1.1445989948697388,98.1691440101713,1127.0875233898714,197.77531265238213,0.0,3,3,4,4,4,5,6,7,9,19,98
gRPC,GetSongsInPlaylist,16233,0,3,3.541330417990372,1.0647799936123192,23.683120001805946,378.8689090125054,193.788051565529,0.0,3,4,4,4,5,6,7,7,11,16,24
,Aggregated,81762,0,3,3.3649037268381403,0.8300520130433142,110.92293899855576,1696.54184095301,976.0671885727088,0.0,3,4,4,4,5,6,6,7,10,19,110
