Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/songs,403,0,510.0,496.7976833450886,43.73576899524778,2246.0576470184606,9085.0,13.523164507733044,0.0,510,580,630,660,740,820,1200,1300,2200,2200,2200
GET,/users,433,0,510.0,506.7593728640605,44.850423000752926,1306.1465210048482,17446.0,14.529851691931535,0.0,510,580,630,660,780,850,1200,1200,1300,1300,1300
GET,Músicas em playlist,442,0,350.0,828.3148644344141,1.8180990009568632,22438.434846000746,1196.5814479638009,14.831857847191081,0.0,350,460,500,540,730,1200,10000,16000,22000,22000,22000
GET,Playlists com música,509,0,360.0,788.7592574243922,2.084396983264014,23480.08162199403,3630.7740667976423,17.08012589190104,0.0,360,450,500,520,680,1100,11000,16000,23000,23000,23000
GET,Playlists de usuário,465,0,340.0,810.3737757510571,1.5840420091990381,22442.91483197594,129.7483870967742,15.60365135507659,0.0,340,460,500,540,680,1100,12000,19000,22000,22000,22000
,Aggregated,2252,0,420.0,694.5176344011887,1.5840420091990381,23480.08162199403,6062.459591474245,75.56865129383328,0.0,420,500,570,600,730,1100,3100,14000,22000,23000,23000
